fullname,id,likes,quotes,replies,retweets,searchQuery,text,timestamp,username,verified
ismail kılıçarslan,1720089362543915306,4279,34,89,749,Hamas,"Hamas mücahitleri, ""İsrail'in Rambosu"" lakaplı, çoluk çocuk öldürmeye gelince kahraman kesilen Salman Habka'yı cehennemin dibine yollamış. Yarbay rütbeli bu köpek, savaşın başından beri öldürülen en yüksek rütbeli asker aynı zamanda.",2023-11-02T14:43:00.000Z,@kilicarslan_is,TRUE
Winston,1720171729484403165,438,3,21,182,Hamas,"Peronia, no lo vas a entender hamas.",2023-11-02T20:11:00.000Z,@Winston_Dunhill,FALSE
reine | رين,1719820234293457085,9860,9,5,3686,Hamas,zionists keep proving to us that a Hamas rocket could never have caused any damage to Al Ahli hospital,2023-11-01T20:54:00.000Z,@reinenokyojin,FALSE
OpIndia.com,1720229304540320004,78,1,2,37,Hamas,"Inside Hamas’ terror den: From building a web of tunnels to depriving civilians of fuel, here is how the terror group is running a sophisticated campaign

opindia.com/2023/11/hamas-is…",2023-11-03T00:00:00.000Z,@OpIndia_com,TRUE
Embassy of Israel to the USA | #IsraelUSA75,1720289699347001463,134,4,17,47,Hamas,"Hamas is not the victim; Hamas is a terror organization that tortures and murders LGBTQ+ people and oppresses women. Hamas is not an organization that wants peace, freedom, or equal rights for anyone, especially queer people. 

#HamasisISIS",2023-11-03T04:00:00.000Z,@IsraelinUSA,TRUE
Amy macintosh 🇵🇸🇵🇸🇵🇸,1720197122862260319,12,0,0,1,Hamas,Well it wasn't Hamas that leveled the kibbutz,2023-11-02T21:52:00.000Z,@AmyVulpecula374,FALSE
RuelDomi,1720318672323957090,0,0,0,0,Hamas,"Hamas sympathizers on Ivy League universities. Professors that tear out posters of kidnapped Israelis by Hamas. What’s going on some of these universities and colleges? Answer:The woke has captured them. You hear that Republicans? If you do, do something about it.",2023-11-03T05:55:00.000Z,@realRuelDomi,FALSE
Agencia AJN,1720239843869925528,306,8,18,290,Hamas,"La televisión alemana describe los equipos de los terroristas durante la masacre del 7 de octubre.
Usaron bombas incendiarias para quemar vivas a familias enteras a 3.000 grados centígrados. Así Hamas asesino 1400 personas. #HamasisISIS 
#Israel #Hamas #Gaza @israel",2023-11-03T00:41:00.000Z,@AgenciaAJN,TRUE
Israel ישראל 🇮🇱,1719995244962292011,5277,193,1552,2864,Hamas,"Disturbing content ⚠️

“Two sets of rib cages, one smaller, with a wire, tied together.” 

The bodies of Israeli men, women, children and babies murdered by Hamas were so dismembered that forensic specialists are having trouble identifying them. 

📸 @CNN, @jaketapper",2023-11-02T08:29:00.000Z,@Israel,TRUE
Street Dog #Fella 🇺🇸 🇺🇦 🇨🇿,1719963253621567965,2132,52,116,659,Hamas,"Hamas' brutal savagery is beyond comprehension to many in the West. That is why many make excuses for Hamas.

Aside from the horrors that we don't know about, it appears they sliced her achilles tendon. Likely to keep her from running away.

Don't ever look away.",2023-11-02T06:22:00.000Z,@JamesLLandis,FALSE
Aditya Raj Kaul,1720165156037243255,1519,8,23,403,Hamas,Breakfast in Gaza as Hamas terrorists continue to fire rockets against innocent civilians in Israel.,2023-11-02T19:45:00.000Z,@AdityaRajKaul,TRUE
M,1720318720864600355,0,0,0,0,Israel,"Every video I see from the Palestinian people are demolished buildings, the dead, and blood curdling screams of men and women as they see their loved ones bloodied and dismembered and all the videos I see of Israel are from people in high rises who swear they MIGHT be in danger",2023-11-03T05:55:00.000Z,@mdottxt,FALSE
𝕏iran * PREORDER HEAVENLY TYRANT,1720278799731069289,934,5,9,415,Israel,Biden wants to GIVE Israel 3.5 billion to buy weapons FROM US sources without having to run it by Congress???,2023-11-03T03:16:00.000Z,@XiranJayZhao,FALSE
Jonathan Cook,1720044501106835871,3747,83,139,2802,Israel,"These comparative figures are jaw-dropping. Israel's daily civilian kill rate is so far more than 20 times greater than that of Russia's in Ukraine.

And that's before all the Palestinian bodies below the rubble are unearthed and counted",2023-11-02T11:45:00.000Z,@Jonathan_K_Cook,TRUE
Joseph Hirsch,1720060330536050873,724,112,147,567,Israel,"«S’ils veulent mettre les 2000 Tunisiens juifs en prison, nous irons. Nous ne partirons pas de notre pays.» 
En Tunisie, les députés examinent aujourd'hui un projet de loi visant à emprisonner tout Tunisien en lien avec Israël @libe  liberation.fr/international/…",2023-11-02T12:48:00.000Z,@josephhirsch5,FALSE
غزة🇵🇸✌ Gaza,1720318691420573833,0,0,0,0,Gaza,"""صلّى عليكَ اللهُ ياخيرَ الورى
 تعدادَ حبّاتِ الرمالِ وأكثرا ﷺ.""",2023-11-03T05:55:00.000Z,@ahmedshalaby922,FALSE
Mohamad Safa,1717897032210235686,4071,64,94,2086,Gaza,This is a missile manufactured by the United States. Your taxes have killed children in Gaza.,2023-10-27T13:32:00.000Z,@mhdksafa,TRUE
Marcel,1720133904999272795,745,14,112,351,Gaza,"Dans la vomitive émission de propagande de Pujadas, on n’est pas capable de présenter des excuses pour les mensonges de Ruth Elkrief mais on n’ose pas parler de massacre à propos des milliers de morts de Gaza, qui sont involontaires, et on doute même qu’ils existent 🤮🤮🤮",2023-11-02T17:40:00.000Z,@realmarcel1,TRUE
Hanna,1720214412928090352,25,1,7,2,Gaza,Stel dat je Kamerlid bent voor GL en het enige wat je over Palestina / Gaza / Israël hebt gezegd sinds 7 oktober is… Niks. (Tenzij je een (1) retweet van Kati Piri meetelt.),2023-11-02T23:00:00.000Z,@DevikaAkived,FALSE
Akmal Sjafril,1719548087381934278,4033,47,56,4139,Gaza,"Anak-anak di Gaza dioperasi TANPA BIUS!

Ya Allah, adzab-lah mereka yang masih bersikap netral! Ya Allah, adzab-lah mereka yang masih bersikap netral! Ya Allah, adzab-lah mereka yang masih bersikap netral!",2023-11-01T02:53:00.000Z,@malakmalakmal,FALSE
Palestina Hoy,1720127817864696124,5794,97,173,4487,Gaza,"Hoy se cumplen 106 años desde que Gran Bretaña emitió su Declaración Balfour, que entregó nuestra tierra al sionismo. La actual campaña de asesinatos en masa contra nuestro pueblo en Gaza y en toda Palestina es un recordatorio de las catastróficas consecuencias de esa declaración. Es responsabilidad del Reino Unido corregir esta injusticia histórica, exigir el fin inmediato de la agresión de Israel, reconocer el Estado de Palestina y reunir apoyo internacional para poner fin de una vez por todas a la ocupación de Israel.",2023-11-02T17:16:00.000Z,@HoyPalestina,TRUE
kimraaaa.,1720057459665182976,1755,24,49,712,Gaza,"Juru Bicara Kemenkes Gaza :

Korban syahid mencapai 9061, dan korban terluka mencapai 32.000 orang, sampai hari ini.

INNALILLAHI WA INNA ILAIHI ROJIUN 😭💔",2023-11-02T12:37:00.000Z,@rahmdess27,FALSE
🇵🇸 Free✌️Palestine 🇵🇸,1719698175659856358,17397,66,0,13079,Gaza,"THE ONLY HOSPITAL THAT TREATS CANCER IN GAZA IS NO LONGER OPERATING BECAUSE IT WAS BOMBED AND HAS RUN OUT OF FUEL. 

16 OUT OF 35 HOSPITALS IN GAZA ARE UNABLE TO OPERATE.

THE MINISTER OF HEALTH RENEWED URGENT APPEALS TO ALLOW NECESSARY MEDICAL SUPPLIES + MEDICS.",2023-11-01T12:49:00.000Z,@shiginope,FALSE
André Telles,1719888317582279085,18,0,1,15,Gaza,SAVE GAZA.,2023-11-02T01:25:00.000Z,@andrectelles,FALSE
T ❀,1720093334256123999,2787,56,7,804,Hamas,"Palestinian women resistance: women of Al-Quds brigade, PFLP, DFLP, and women police force for Hamas. 🇵🇸🇵🇸🇵🇸🇵🇸",2023-11-02T14:59:00.000Z,@bountay_,FALSE
Quds News Network,1720102904999096528,5153,101,253,1857,Hamas,"Prime Minister of the Federal Republic of Somalia Hamza Abdi Barre affirms that “Hamas is not a terrorist group, but rather a liberation movement aims to free its land and its people.” #Palestine",2023-11-02T15:37:00.000Z,@QudsNen,TRUE
NEWSMAX,1720210431363740127,2558,31,116,423,Hamas,"The United Nations, due to its inability to condemn Hamas' attacks on Israel, should receive no more taxpayer dollars from the United States, Rep. Jeff Van Drew said Thursday.  newsmax.com/politics/jeff-va…",2023-11-02T22:45:00.000Z,@NEWSMAX,TRUE
S. Fitzgerald Haney,1720318669635322027,0,0,0,0,Hamas,Why have you let Hamas use your facilities endangering the very people you are supposed to be helping? Why do you acknowledge Hamas steals your supplies to use for terror and then delete the tweet? If you can’t do your job why do you still exist?,2023-11-03T05:55:00.000Z,@realFitzHaney,FALSE
raz_sauber,1720193060858945917,324,46,52,214,Hamas,"Graphic content warning: Teenagers, before hamas got them, and after. 
Watch until the end.
#Hamas_is_ISIS",2023-11-02T21:36:00.000Z,@raz_sauber,TRUE
Aviva Klompas,1720031834644320745,12607,258,584,4381,Hamas,"A grieving woman in Gaza lets the truth slip out. She cries that this is all because of #Hamas dogs. 

The crowd quickly hushes her.",2023-11-02T10:55:00.000Z,@AvivaKlompas,TRUE
Sophiaa🖤,1720268479092478007,208,1,26,59,Hamas,"🇵🇸🇮🇱
📍Gaza Strip, Palestine 🇵🇸

🥇 Bravest Fighter on earth 

🟥 Single Hamas fighter Destroyed 2 Merkava tanks (20 million💲) just in 30 second .

#Gaza #Palestine #GazaGenocide #Hezbollah #غزه_مقبرة_الغزاة #غزة_تنتصر #ابو_عبيدة #حزب_الله #Israel #FreePalestineNow",2023-11-03T02:35:00.000Z,@Sophiaa___pales,FALSE
Mario Nawfal,1720093824826155357,22679,510,1919,6236,Hamas,"🚨JUST IN - Somali Prime Minister Hamza Abdi Barre: 

""Hamas are not 'terrorist', but rather an Islamic liberation movement, and we will not change our minds even if they cut off our heads"" 

Source: Al Jazeera",2023-11-02T15:01:00.000Z,@MarioNawfal,TRUE
💩,1720318667253006514,0,0,0,0,Hamas,"And yet Hamas still hasn’t released its hostages and surrendered.  What does that say about the country’s “elected leaders,” and their level of concern for the country’s citizens?  

Bodies pile up quick when an army uses them as human shields.",2023-11-03T05:55:00.000Z,@KellySalami,FALSE
"The Mossad: Satirical, Yet Awesome",1720179701514223634,5056,53,367,1015,Hamas,"Montage of elimination of Hamas targets. 

More than 12,000 targets have been destroyed since the beginning of the war including:

- Logistic and ammunition warehouses
- Rocket launching systems
- Hamas security infrastructure
- The Hamas air support system
- Hamas terrorists
- Structures belonging to Hamas leaders
- Command and control centers
- Hamas Intelligence targets
- Training camps",2023-11-02T20:42:00.000Z,@TheMossadIL,TRUE
"PIENSAPRENSA 337,5 mil Seguidores",1720142861432152082,268,12,20,507,Hamas,"Cisjordania: colonos israelíes queman casas, autos y negocios palestinos.
Dato: Cisjordania no es terrirorio dominado por Hamas",2023-11-02T18:16:00.000Z,@PiensaPrensa,TRUE
Doña Froggos🍂🐸🍂,1720318688690385365,1,0,0,0,Gaza,"You DO NOT represent me, a woman. Shame on you for not condemning the rape, torture and murder of Israeli women on October 7th, and double shame on you for not condemning terrorists for taking women, young and old to gaza and refusing to let them go home back to Israel.",2023-11-03T05:55:00.000Z,@paranormal_frog,FALSE
Bernie Sanders,1720167313616363578,21144,717,2796,6248,Gaza,"Attention is obviously now focused on the crisis in Gaza, but West Bank violence has also increased. The UN reports 170 settler attacks in the West Bank, and 121 Palestinians have been killed since October 7. Israel must end this violence.",2023-11-02T19:53:00.000Z,@SenSanders,TRUE
Shaun Reardon,1720306211927785804,33,0,2,13,Gaza,"Beautiful and powerful words by tennis star #AnasJaber :
“This is not a political message, just humanity. I want peace in this world, that’s it.”
#Gaza 🇵🇸",2023-11-03T05:05:00.000Z,@reardon_shaun,FALSE
♥️🐈‍⬛ نورهان,1720058730551586967,711,4,2,160,Gaza,"Palestinians in Gaza are buying bread for their families, get bombed on the way back, and all that remains is the bread and their blood.",2023-11-02T12:42:00.000Z,@islamocommunism,FALSE
Mohammed Ahmadzai,1720318687985512555,0,0,0,0,Gaza,Israel could annex Gaza and the West Bank by forcing all Palestinians to take refuge in Egypt and Jordan.,2023-11-03T05:55:00.000Z,@walijon,FALSE
Abby Martin,1720148472429687199,9881,63,317,5168,Gaza,"Everyone denounced Israel’s hospital bombing that killed 500 civilians, that’s why they lied to blame Palestinians. But since they bomb refugee camps, hospitals & schools w/ hundreds killed every day. Israel’s massacres are now normalized. A friend in Gaza says this is the policy",2023-11-02T18:38:00.000Z,@AbbyMartin,FALSE
☮️ May all people live in Peace,1720318687352410522,0,0,0,0,Gaza,"If your only crime is that you were born in Gaza and you have to pay with your life for it
#Gaza #Gaza_Genocide #IsraeliNewNazism #IsraelPalestine",2023-11-03T05:55:00.000Z,@WonderfulScan,FALSE
Mike Prysner,1720218105878872183,8239,41,41,3774,Gaza,"Half the journalists working in Gaza have been assassinated by Israeli airstrikes, many with their families (or had family killed instead of them). All the rest know they’re on the hit list. The courage to keep working. The silence of the American media. Unbelievable moment",2023-11-02T23:15:00.000Z,@MikePrysner,FALSE
Dr. Victor Tutú,1720235271772389668,60,1,5,32,Israel,"Los dos mayores exponentes del islam y el nazismo  (Amin Al Husseini, ""mufti"" de Jerusalem, y Adolf Hitler), llegaron a planificar juntos la invasión nazi a la tierra de Israel, con el objetivo de matar a los judíos que por milenios habían vivido allí.",2023-11-03T00:23:00.000Z,@victorfyt,TRUE
DUL🎀,1720163282659455034,334,1,3,103,Israel,"Why all these celebrities in their 1 million rich homes are posting ridiculous videos about “would you hide me” how you making a whole Genocide and the killing of thousand of children about you, you’re born in new york being jew doesn’t mean supporting Israel.",2023-11-02T19:37:00.000Z,@dolchiie,FALSE
Safina Khan صفینا خان,1720318717924655304,0,0,0,0,Israel,"But then citizens of Israel are supporters of Genocide. 
x.com/safinasayss/status/171…",2023-11-03T05:55:00.000Z,@Safinasayss,TRUE
Stop Cop City,1720179318872064240,28698,513,438,10970,Israel,When MSNBC is airing this you know Israel has lost the propaganda war.,2023-11-02T20:41:00.000Z,@JoshuaPHilll,TRUE
Joah,1720109689243848883,177,10,27,88,Israel,"🚨 PROOF of ORGANIZED PSYOPS of EMPLOYERS 

I have called for peace, a ceasefire, and even a call to at least allow the women and children to leave. I have never once said I'm pro-terror or pro-Hamas. 

This shows the lengths Israel will go to censor people who call for peace and spread fake news to remove them from their positions. 

An anonymous person wrote my ""employer"" three times in one hour with the title ""Please investigate this.""

First stating that I denied 40 infants were killed. 
The post she mentions has nothing to do with babies and I have never written about the babies. It was a direct screenshot from the DOJ, part of history that I don't feel Israelis would deny on how Britain was forced out of Israel by three Zionist terrorist groups.  

Second, she reiterates propaganda that again I think everyone would disagree, Israel like many countries was not started in peace. This is trying to influence my ""employer"" into thinking I am evil, picking on a peace-loving nation. 

The third message states something that has never been on my timeline and doesn't really make sense. These are obviously bot messages, one email is kind of true about the militias but the rest is out of place. My entire timeline never mentions those things.  

I traced the IP address and replied with an ip trace image embedded. The fact that this was a targeted attack with fake information and IP information
led me to believe this was with certainty an organized attack. 

How are people like the Helen Diller Family allowed to fund things such as The ""Canary Mission"" that was exposed years ago. - She should be arrested for funding defamation campaign on a mass scale, for years: x.com/JoahSantos/status/1717…

@stillgray - You claim you are for free speech. Would love to see you speak out about this if you are not a sell-out. 

@MarioNawfal , @ShaykhSulaiman , @krassenstein , @EdKrassen , @KimDotcom - Why is this not news? 
To spread misinformation about a person is illegal, on top of it to do it to try to remove someone from their position is even more illegal. 

These are the tactics of pro-Israel organizations within the US borders that need to be removed immediately. 

I have been directly attacked, sorry if my next posts have a ton of casualties, and spread antisemitism all over America, I must protect myself - This would be the rationale of Israel. I will handle this legally, do not take out your anger on innocent people regardless of their religion, their religion is just a human shield for the men who are behind these actions.",2023-11-02T16:04:00.000Z,@JoahSantos,TRUE
HaZ ♡ Who?,1720318666456391944,0,0,0,0,Hamas,Probably already got captured by hamas lol,2023-11-03T05:55:00.000Z,@HaZandHiD,FALSE
♥️🐈‍⬛ نورهان,1720034317622018514,1421,0,10,91,Hamas,Watch they will tell this was justified bc Hamas is hiding in the flour!,2023-11-02T11:05:00.000Z,@islamocommunism,FALSE
Jackson Hinkle 🇺🇸,1720182074768867445,23892,207,932,5350,Hamas,"🚨🇸🇴🇵🇸 Somali Prime Minister: ""Hamas are not 'terrorist', but rather an Islamic liberation movement, and we will not change our minds even if they cut off our heads""",2023-11-02T20:52:00.000Z,@jacksonhinklle,TRUE
Emmanuel Rincón,1720076865397010611,6448,133,863,1471,Hamas,"Una mujer se queja porque fue a arrancar los posters de niños secuestrados por Hamás y se cortó.

Pusieron hojillas para evitar que los arrancaran. Ahora ella se graba llorando por haberse cortado:",2023-11-02T13:54:00.000Z,@EmmaRincon,TRUE
Visegrád 24,1720166220257697994,24265,275,1833,4964,Hamas,"Where were the mass protests in Western capital cities when 500 000 Muslims died in Syria?

Where were the protests over the 200 000 dead Yemeni Muslims? 

Or the 24 000 massacred Burmese Muslims? 

Why is it people only start marching when Israel defends itself against Hamas?",2023-11-02T19:49:00.000Z,@visegrad24,TRUE
Mundo en Conflicto 🌎,1720202879187759212,524,3,19,144,Hamas,🇮🇱🇱🇧🇵🇸🇮🇷 | Una milicia iraní que apoya al grupo Hamas fue trasladada al sur del Líbano para reforzar a Hezbollah. canal26.com/internacionales/…,2023-11-02T22:15:00.000Z,@MundoEConflicto,TRUE
Jesse James,1720288881613090945,19,1,0,3,Hamas,"“We should have captured Hitler and the nazi high command in WW2 instead of bombing Berlin and Nazi German. We were the real villains of WW2.🤡” is what you’re saying. You don’t understand war.

Hamas hides behind their civilians. Every  ounce of blood spilled is due to the cowards who shield themselves with their own women and children.

What you want is Israel to concede this defensive posture and allow constant attacks and encourage Hamas to CONTINUE to use human shields. Your positions makes that a viable fucking defense, which will lead to MORE human shields. 

Interesting Israel literally needs an iron fucking dome to counter the thousands of rockets Hamas launches at them every year from behind their hospitals and schools. Because they know fucking idiots like you will cry and scream when Israel dares to eliminate the threats Hamas PURPOSELY puts at said schools and hospitals. Perhaps it’s because, and this is my theory, you really hate Jews.",2023-11-03T03:56:00.000Z,@skydiveicarus,TRUE
Dr. Justice,1719519525975077157,211,6,33,30,Hamas,Brave Muslims Arab Israeli soldiers before going to Gaza City ready to fight against Hamas terror.,2023-11-01T00:59:00.000Z,@DrJustice16,FALSE
Paise Wala,1720312038185120063,9,0,0,5,Hamas,"The girl was suppose to call her dad saying she was enjoying the music festival. Instead, she called saying they were being attacked and killed a lot of people. That is what Hamas did to Israelites 🇮🇱. 

So, no sympathy at all for Hamas and their supporters. 😡",2023-11-03T05:28:00.000Z,@AmirLadka,TRUE
Mossad Commentary,1720206649795772728,2999,102,285,1368,Hamas,"See for yourself: 

In Jenin, as in Hamas, mosques are used as terror bases.",2023-11-02T22:29:00.000Z,@MOSSADil,TRUE
Karl Nehammer,1720158571214553154,253,11,125,28,Hamas,Österreich ist eine freie und starke Demokratie. Wir werden uns dem Terror nie beugen. Die Geiseln müssen von der Hamas freigelassen werden. Als Zeichen der Unterstützung für das Lichtermeer stehen heute in den Fenstern des Bundeskanzleramtes Kerzen. #bringthemhome,2023-11-02T19:18:00.000Z,@karlnehammer,TRUE
Israel en Español,1720106232566952444,1201,21,136,727,Hamas,"¿Saben realmente qué es lo que promueve el #Hamas?

Una pista: si crees en la democracia, los derechos humanos, los derechos de las mujeres y la diversidad - no crees en lo mismo que ellos.

Video: Facts for Peace",2023-11-02T15:50:00.000Z,@IsraelinSpanish,TRUE
Naila Ayad🇵🇸,1720307314404803018,175,1,23,77,Palestine,"This pain will never end...
Good morning everyone and Free Palestine!",2023-11-03T05:10:00.000Z,@Naila_Ayad,FALSE
𝔸𝕝𝕚 𝕊𝕙𝕒𝕙𝕓𝕒𝕫 ℂ𝕙𝕒𝕦𝕕𝕙𝕣𝕪,1717876804369657915,724,15,16,466,Palestine,"The father of famous models Bella & Gigi Hadid, Mohammed Hadid tells the story of how his family welcomed Jewish refugees from Germany to Palestine.

Only to be kicked out of their own home by the same people they welcomed with open arms…",2023-10-27T12:12:00.000Z,@sospunjab,TRUE
michelle met quackity,1720232118859735253,523,1,2,25,Palestine,NOOO tilín all sad at her ofrenda and bbh and baghera are comforting her making sure she knows her dad loves her and they do too :(,2023-11-03T00:11:00.000Z,@kissyskep,FALSE
furina ! ୨୧ 🇵🇸,1719462857606152543,28719,30,39,9580,Palestine,if a child can say free palestine then i don’t know why some adults can’t,2023-10-31T21:14:00.000Z,@furinarchives,FALSE
saf’s chiffon 🎧,1719674814271508771,60530,129,26,35190,Palestine,dont you guys dare stop talking about palestine. things are changing! some of the biggest transportation groups in belgium have decided to not allow weapon transportation to palestine. this wouldn’t have happened if we werent chanting on the streets & sharing what is happening.,2023-11-01T11:16:00.000Z,@flowersinfilm,FALSE
FREE WESTERN SAHARA 🇪🇭,1720318696822915373,0,0,0,0,Palestine,I don’t understand how “pro palestinian group” is contradictory with them being jewish? They are still pro palestine,2023-11-03T05:55:00.000Z,@bugsyftlansky,FALSE
Palestine Action,1720044678555267449,3295,26,60,1434,Palestine,"“PALESTINE WILL NEVER DIE” 

The occupation of Leonardo’s London HQ continues, disrupting the operational centre of a major weapons supplier for apartheid Israel’s genocide of Palestine.",2023-11-02T11:46:00.000Z,@Pal_action,FALSE
애플뮤직 APPLE MUSIC,1720274735525966078,1777,26,1,501,Palestine,"[📢] #차은우 #CHAEUNWOO 
2023 OFFICIAL PHOTO BOOK
PRE-ORDER  GIFT EVENT OPEN💌

📌~11/19 (일) 11:59PM

🚚12/26 (화) 순차 발송

🎁미공개 셀피 포토카드 1종(4종 중 랜덤)

🔗
🤎애플뮤직 홈▶️abit.ly/rq7rnc
❤큐텐 (Qoo10)▶️abit.ly/ulpgj2
🤍지마켓
A버전▶️abit.ly/t3zii3
B버전▶️abit.ly/9jukhrs",2023-11-03T03:00:00.000Z,@applemusic_m,TRUE
Abahpurwa,1720157924289622033,17,0,1,5,Palestine,Penuh arti untuk perjuangan Palestine,2023-11-02T19:16:00.000Z,@Abahpurwa1,FALSE
Sarki.,1720206530887266507,126,0,13,57,Palestine,"The US are the ones funding the genocide in Palestine 

Never forget",2023-11-02T22:29:00.000Z,@Waspapping_,TRUE
American Marxist-Leninist,1720067767045398782,25,0,3,2,Palestine,"What your position on Ukraine/Palestine says about your politics:

🇵🇸🇺🇦 you’re either an anarchist, a social democrat, or a pro Ukraine white nationalist

🇵🇸🇷🇺 you’re either a Marxist Leninist or populist",2023-11-02T13:18:00.000Z,@AlexDillard1917,FALSE
ARMYTEAM,1720248836386607133,1056,6,178,1506,Palestine,"please don't stop talking about palestine and keep your prayers for them 🤲 

IT'S HUMANITARIAN DUTY 
FREE PALESTINE 🇵🇸
#CeasefireNOW 
#CeaseFireInGaza 
#FreePalestine 
#StopGazaGenocide",2023-11-03T01:17:00.000Z,@ARMYTEAMIID,TRUE
Olia,1720105509393408082,6540,133,251,2456,Palestine,"Russia: the civilian population in Palestine can’t  be bombed, but in Ukraine it can. 
Turkey: 4 mln Palestinians have the right to their own state, but 40 mln Kurds do not.
Egypt: we worry about the Palestinians, but we won’t let them in.
Houthis of Yemen: our country is in complete devastation, but we will fight Israel. 
Western leftists & LGBT activists: Palestinians are wonderful peaceful people, but we won’t go to them, they’ll kill us there.
Hamas: we should not take care of the residents of Gaza, let the UN take care of them.

But Israel is to blame for everything.",2023-11-02T15:48:00.000Z,@oliaklein,TRUE
Cold957,1720305192904675445,47,0,6,16,Palestine,"They’re not pro Palestine.
They simply hate Israel.",2023-11-03T05:01:00.000Z,@cold957,FALSE
Victor Davis Hanson,1720185117178765489,4061,94,219,1806,Palestine,"Take Them At Their Words

Iranian Foreign Minister Hossein Amir-Abdollahian, at the UN in New York, just bluntly threatened individual American officials with violence: “I say frankly to the American statesmen, who are now managing the genocide in Palestine, that we do not welcome (an) expansion of the war in the region. But if the genocide in Gaza continues, they will not be spared from this fire.” (Emphasis added.)

I don’t think Mr. Amir-Abdollahian would come into our country to issue such a direct threat to American leaders had the Biden administration not assigned Robert Malley to reboot the atrocious but then-inert Iran Deal, had it not lifted oil export sanctions--resulting in a multibillion-dollar windfall to Tehran, had it not tried to ransom American hostages from Iran at $1.2 billion a captive, had it not restored hundreds of millions of dollars in support to the West Bank and Gaza, had it not allowed U.S. aid and remittance dollars to Lebanon to seep into Hezbollah coffers, had it not dropped past American  declarations that the Houthis were a terrorist organization, and had it not ignored rather than retaliated for dozens of attacks on US forces in Syria and Iraq by Iranian surrogates.

We should also take at his word one Ghazi Hamad.

He’s a high official in Hamas and one of their PR megaphones. And in an October 24 Lebanese television interview, Hamad  boasted: “We must teach Israel a lesson…and we will do this again and again. The Al Aqsa Flood [the October 7 attack] is just the first time, and there will be a second, a third, a fourth…It is Israel, not us. We are the victims of the occupation…On Oct. 7, on Oct. 10, on October one-millionth, everything we do is justified…”

Hamad was quite clear on the motivation for his envisioned million more murder sprees: “The existence of Israel is what causes all that pain, blood and tears.”

So Hamad is promising more beheading, executions, rape, and mutilation. I don’t think Hamad—apparently waging endless jihad against Israeli civilians from a safe distance in Beirut—got the message about the much-heralded American “two-state solution” of mutual co-existence.

In other words, Hamad has no problem adhering to the Hamas-charter agenda of wiping out Israel: “Israel is a country that has no place on our land. We must remove that country because it constitutes a security, military, and political catastrophe to the Arab and Islamic nations, and must be finished.”

So is this final solution to Israel the “from the river to the sea” envisioned by our campus activists?

Our Turkish NATO ally Recep Tayyip Erdogan, at a huge public rally, praised the Hamas mass murderers as “freedom fighters.” He declared the Israeli response to the Hamas apparat a “massacre,” and threatened to send the Turkish army to Gaza and to hit Israel with a swarm of missiles and bombs--or as he put it, his military can “come at any night unexpectedly.” (He issued the same sort of surprise aerial threat not long ago to NATO member Greece.)

Such is our Turkish NATO ally. It has the largest military of the alliance aside from the U.S., is home to a huge American air base at Incirlik that is reportedly still-equipped with nuclear weapons, has collaterally bombed Kurdish civilians in Syria and Iraq, and for the last half-century has propped up the permanent Turkish occupation of northern Cyprus that drove 150,000-200,000 Greeks from their homes. And, amid his denunciations of Israeli “genocide” and “massacre,” the moralist and former Obama conduit to Middle East, Erdogan sometimes talks about how an earlier Turkish generation dealt with the Armenians–as a matter of pride rather than shame.

Remember that all of these creepy leaders have at one time or another been (or currently are) recipients of U.S. cash, but are comfortably far away. Now they are buoyed by, and voicing  sentiments identical to, their thousands of spiritual kindred on our own campuses.",2023-11-02T21:04:00.000Z,@VDHanson,TRUE
Robert Carter,1720070282831130911,957,5,25,488,Palestine,"The reason so many pro-Israel looney bins want to essentially CANCEL pro-Palestine views is because their Israel argument doesn't stand up to scrutiny. 

Colonialism is just wrong. Stealing someone else's home is just wrong. Killing kids is just wrong. 

#Israel #Palestine",2023-11-02T13:28:00.000Z,@Bob_cart124,TRUE
mehmet sumer,1720296255874560070,3,0,0,2,Hamas,"Hizbullah lideri Hasan Nasrallah, 7 Ekim'de Hamas'ın İsrail'e saldırıları ve İsrail'in Gazze'yi vurmaya başlamasından sonra ilk kez konuşacak. Her zaman olduğu gibi güvenlik gerekçesiyle bilinmeyen bir noktadan uydu üzerinden yapılacak konuşma, Türkiye saatiyle 16'da olacak.",2023-11-03T04:26:00.000Z,@mehmetsumer_,TRUE
'lsi Mon,1720175066758209894,5,0,0,1,Hamas,"Maybe look at videos on TikTok or trip advisor to see Palestians “open air” prisons. They live better than many people in Africa, South America, or even Middle East. Hamas leaders are billionaires.",2023-11-02T20:24:00.000Z,@ki676love,FALSE
Israel ישראל 🇮🇱,1720088273664811259,20931,1012,3253,11764,Hamas,"Viewer discretion advised: some of you may have seen clips and images of the horrific war crimes committed by Hamas on October 7th. 

A new website archives all of this footage. 

We know it’s difficult to watch, but it is even more heart wrenching  for the victims and the families of these heinous crimes. 

Please RT this and help us make sure that the world knows what happened. 

hamas-massacre.net",2023-11-02T14:39:00.000Z,@Israel,TRUE
New York Post,1720279907899498915,444,8,99,86,Hamas,Woman who hid under dead bodies to survive Hamas attack says she’s terrified of pro-Palestinian protests on campuses trib.al/zVuu6oJ,2023-11-03T03:21:00.000Z,@nypost,TRUE
